r0,welfare_efficiency
50.0,0.8399999999999985
50.0,0.8599999999999988
50.0,0.8799999999999989
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06
50.0,0.8599999999999988
50.0,0.8799999999999989
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06285953409608667
50.0,0.8799999999999989
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06687782921992085
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07331906337393412
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.08593565243445098
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.12419780238092583
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.654021085759264
50.0,0.9799999999999998
50.0,0.9934027572631832
50.0,1.0
50.0,0.8599999999999988
50.0,0.8799999999999989
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06234375
50.0,0.8799999999999989
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06537826161156801
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06971388024109355
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07670738794865314
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.09036818648847345
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.1311089108526063
50.0,0.9799999999999998
50.0,0.6621143924268501
50.0,1.0
50.0,0.8799999999999989
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.064375
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.0675572485394852
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07215481172439062
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07959684156473495
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.09408521921583042
50.0,0.9799999999999998
50.0,0.13669032891974645
50.0,1.0
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06609375
50.0,0.9199999999999993
50.0,0.9399999999999994
