m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,g2_cooperative,g2_conditional_cooperator,g2_compensating_cooperator,g2_selfish,g2_sanctioning,g3_cooperative,g3_conditional_cooperator,g3_compensating_cooperator,g3_selfish,g3_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
4,0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,0,4,0,0,0,0,0.05724388479075506,True
4,0,0,0,0,2,1,0,0,0,1,0,0,1,0,1,0,2,0,0,0,1,1,1,0,1,0.1161470776889118,True
4,0,1,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,3,0.10332058816520794,True
4,0,0,1,0,1,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0.9748840445269624,False
4,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,2,2,0.036897024562602826,True
4,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,3,0.008998195324300845,True
4,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,2,1,0,0.051202255027431046,True
4,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,2,0.8998114937127917,False
4,1,0,0,1,0,0,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,1,1,0.04192971298964694,True
4,1,0,0,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,1,2,1,0,0,0.08957353954619372,True
4,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,1,3,0,0,0.10676443854343153,True
4,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,2,0.030563452537490713,True
4,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,2,0.17815028380700138,True
4,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,2,1,0,1,0,0.12533464543520478,True
4,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,2,0,0,0,2,1,0,0,1,0.029167517567839796,True
4,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,3,-0.05397228655757314,True
4,0,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,4,0,0,0,0,0.05972932658891094,True
4,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,2,0.04579389218381704,True
4,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,2,0,0,2,0.1185075606362047,True
4,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0.06503003347085874,True
4,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0,3,1,0,0,0,0.9289260295324667,False
4,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,1,2,0.06975403388380373,True
4,0,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,2,2,0,0,0.07469844319274181,True
4,0,0,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,2,0,0,1,0.0176379342353072,True
4,0,0,0,0,2,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0.03393224929401007,True
4,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,2,0,2,0,0,0.5884658076495367,False
4,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,1,0,0,4,0,0,0,0.01251316662766634,True
4,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,1,0,0,1,0.07814144860379774,True
4,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,3,1,0,0,0,0.1267644385434315,True
4,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,2,1,0.9385257305823794,False
4,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0.9383302715604998,False
4,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.060120099666913944,True
4,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,1,0,2,1,0,0.06057320002439706,True
4,1,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,1,2,1,0,0,0.05849048966595443,True
4,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0.1113348656495538,True
4,0,1,0,0,1,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,1,2,1,0,0.037128387764386005,True
4,0,0,1,0,1,0,0,2,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0.9477430535942305,False
4,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,1,3,0.8777739250108333,False
4,0,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3,1,0,0,0,0.04025391205138413,True
4,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,2,1,0,1,0,0.04111600667880517,True
4,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0.01556039243925717,True
4,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,2,0,0,1,0.8191100633698197,False
4,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0.9091421266805955,False
4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1,1,1,2,0,0,0.893845338527343,False
4,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2,1,1,0,2,0,0.02615242303415438,True
4,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,2,2,0,0.032299753032952565,True
4,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,3,0.8604411465574573,False
4,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,3,-0.0018181752723451625,True
4,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,3,-0.010512457771933433,True
4,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,2,2,0,0,0.04379557519797194,True
4,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,2,1,0.029148338638582096,True
4,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,1,1,0.03887076691370803,True
4,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,2,0,0.05712114468004462,True
4,0,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,1,1,0,1,1,0.05060111975600003,True
4,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,2,1,0,0.04515609708999212,True
4,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,3,1,0,0,0,0.019811746266331486,True
4,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,2,0,1,1,0,0.02645426852631145,True
4,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,2,1,0.07857372419718116,True
4,1,0,0,0,1,0,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,4,0,0,0,0.08312017646985234,True
4,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,1,1,0.005793892183817102,True
4,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,2,0.03793160080855594,True
4,1,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,2,1,0,1,0.1130065974569768,True
4,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,2,2,0.027890876373274826,True
4,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0.056275208585199105,True
4,0,0,2,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,2,0,2,0,0.08187476314281725,True
4,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,2,0.06975403388380373,True
4,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0.9387288696306115,False
4,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,1,1,0,2,0,0.06961735068500968,True
4,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,2,1,1,0,0,0.04997266304288566,True
4,0,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0.9010710923532176,False
4,0,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,3,1,0,0.9132882564718074,False
4,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,1,0,1,0,2,0.042415889532443234,True
4,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,3,-0.022143552024861457,True
4,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,2,0.02602771344242673,True
