m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
2,2,0,0,2,0,2,0,1,1,0,2,0,0,0,2,0.07989855995460707,True
2,1,2,0,1,0,1,1,0,2,0,2,1,1,0,0,0.07101186926993816,True
2,1,0,1,1,1,0,4,0,0,0,1,1,1,0,1,0.045290047241861746,True
2,0,0,0,3,1,0,1,2,0,1,2,0,0,1,1,0.9376735115018561,False
2,0,2,1,1,0,0,3,1,0,0,0,0,2,0,2,0.036512813179976907,True
2,1,1,0,0,2,0,0,2,1,1,1,0,0,2,1,0.9179622642442111,False
2,2,2,0,0,0,3,0,0,0,1,4,0,0,0,0,0.6348359826973823,False
2,0,0,2,1,1,1,0,0,0,3,0,2,1,1,0,0.11931478784532613,True
2,0,0,3,0,1,0,1,0,0,3,0,0,2,0,2,0.8771790650583783,False
2,1,1,0,1,1,0,0,0,4,0,4,0,0,0,0,0.054119340742445655,True
2,0,2,0,0,2,1,0,2,0,1,0,2,0,0,2,0.8999944456134444,False
2,1,0,2,0,1,0,3,0,1,0,1,0,0,3,0,0.053160053890671854,True
2,1,0,0,0,3,0,1,3,0,0,0,1,0,2,1,0.8003222596284914,False
2,4,0,0,0,0,0,3,1,0,0,0,0,0,1,3,0.04953386825784212,True
2,1,0,0,3,0,1,0,0,1,2,1,0,3,0,0,0.055927824070700335,True
2,1,2,0,0,1,1,2,0,0,1,0,0,0,1,3,0.8958781159888101,False
2,2,0,2,0,0,3,0,0,0,1,0,1,1,0,2,0.9386526380746192,False
2,1,1,2,0,0,0,2,1,1,0,0,2,1,1,0,0.07556796893166401,True
2,0,2,0,1,1,2,0,2,0,0,0,2,1,1,0,0.0976653573516838,True
2,3,0,0,1,0,2,0,1,1,0,2,0,1,1,0,0.15997463294020428,True
2,1,0,2,1,0,0,0,2,1,1,1,0,1,1,1,0.9390762444407883,False
2,0,1,3,0,0,1,3,0,0,0,1,2,1,0,0,0.08116565366937481,True
2,0,2,0,1,1,2,0,0,1,1,2,0,0,2,0,0.09484844386602691,True
2,0,0,0,3,1,1,1,0,2,0,0,1,0,2,1,0.038174931192787386,True
2,0,1,0,1,2,1,0,1,0,2,0,0,0,1,3,0.8589516625791517,False
2,2,1,1,0,0,1,1,0,0,2,1,0,2,1,0,0.4263554065381587,True
2,0,2,1,0,1,1,2,1,0,0,1,3,0,0,0,0.0652808549146982,True
2,1,2,0,0,1,3,1,0,0,0,1,0,0,3,0,0.07245785199029108,True
2,1,0,1,2,0,0,0,0,2,2,0,0,0,4,0,0.029292737957077868,True
2,0,1,0,2,1,0,1,1,0,2,1,0,2,0,1,0.9191691785330517,False
2,1,1,2,0,0,1,1,1,0,1,0,2,0,1,1,0.18401549432461753,True
2,1,1,2,0,0,0,0,1,3,0,3,1,0,0,0,0.08059551394942113,True
2,1,1,1,1,0,0,1,3,0,0,2,0,2,0,0,0.13385050971814805,True
2,0,0,3,1,0,1,0,2,0,1,2,0,0,2,0,0.2776482522129493,False
2,1,0,0,3,0,0,0,2,2,0,0,1,1,2,0,0.06321503179085736,True
2,0,0,3,1,0,0,1,2,0,1,0,0,0,4,0,0.061661760608910765,True
2,2,1,0,1,0,0,0,0,3,1,0,1,2,1,0,0.06469134825417217,True
2,0,2,0,0,2,0,0,1,3,0,1,1,1,1,0,0.03395531648974998,True
2,1,0,0,1,2,0,2,0,1,1,0,2,1,1,0,0.04525535219215067,True
2,1,0,0,2,1,3,0,1,0,0,0,0,1,3,0,0.10699089775599184,True
2,2,0,1,0,1,0,0,1,2,1,1,1,0,2,0,0.09472264300015959,True
2,3,0,0,1,0,0,0,0,1,3,0,1,1,2,0,0.04034479720253817,True
2,1,0,1,2,0,1,2,0,1,0,1,1,2,0,0,0.0745154265619327,True
2,0,1,1,1,1,0,0,4,0,0,0,1,0,1,2,0.9377895515691899,False
2,3,1,0,0,0,1,2,1,0,0,2,1,0,0,1,0.0894875422280664,True
2,0,0,1,3,0,1,1,1,1,0,0,2,0,1,1,0.04975832445445493,True
2,0,1,0,1,2,0,2,0,1,1,1,0,1,0,2,0.8969114620879423,False
2,2,0,0,0,2,2,0,2,0,0,0,1,1,1,1,0.9387017276186093,False
2,1,0,1,0,2,0,2,0,0,2,2,2,0,0,0,0.37182999407925793,True
2,2,0,1,0,1,1,0,0,0,3,0,2,0,0,2,0.8797585092934095,False
2,0,0,0,0,4,0,1,0,3,0,2,0,0,2,0,-0.00770024696704737,True
2,0,0,1,3,0,1,2,0,0,1,0,3,0,0,1,0.036790290344409726,True
2,3,0,1,0,0,1,0,2,0,1,2,1,0,1,0,0.9605514922735218,False
2,2,0,1,0,1,2,0,1,1,0,0,0,1,0,3,0.9073539822048617,False
2,0,0,2,2,0,1,0,0,1,2,2,0,1,0,1,0.1233205881652079,True
2,1,0,3,0,0,1,0,0,3,0,1,1,2,0,0,0.0941988126828467,True
2,0,1,2,0,1,1,2,1,0,0,0,3,0,0,1,0.06956319215012477,True
2,0,1,2,0,1,2,0,0,0,2,2,0,1,0,1,0.9183236709339611,False
2,1,1,1,1,0,0,1,2,1,0,0,0,3,0,1,0.07218911764889692,True
2,1,1,2,0,0,0,0,1,0,3,0,2,2,0,0,0.2566240628288051,False
2,0,1,1,1,1,1,0,0,0,3,3,1,0,0,0,0.9123186828528319,False
2,1,0,0,2,1,0,0,1,3,0,0,2,0,2,0,0.048339934476489634,True
2,2,1,1,0,0,1,2,0,1,0,0,1,0,0,3,0.0291675175678398,True
2,1,1,0,2,0,0,0,2,0,2,0,0,3,1,0,0.05592476557341184,True
2,2,2,0,0,0,1,0,1,2,0,1,2,0,1,0,0.07382630478549748,True
2,2,0,0,2,0,0,1,1,2,0,0,3,0,1,0,0.06618310533548337,True
2,0,2,0,1,1,2,2,0,0,0,0,0,1,0,3,0.037806281375486986,True
2,2,0,1,1,0,0,0,0,3,1,0,0,2,0,2,0.8139706175501747,False
2,2,0,1,1,0,1,1,1,0,1,1,0,2,1,0,0.42464387430982975,True
2,1,2,0,0,1,0,1,3,0,0,1,1,2,0,0,0.17492000826812115,True
2,0,0,0,4,0,0,0,0,1,3,0,3,0,1,0,0.006863580067191835,True
2,0,0,4,0,0,0,1,0,2,1,1,0,1,2,0,0.16187554401717694,True
2,2,0,1,1,0,2,1,0,1,0,2,0,1,1,0,0.09592476557341177,True
2,0,0,1,3,0,0,0,2,1,1,0,3,0,0,1,0.039424794245312755,True
