m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
1,7,0,0,1,0,3,0,0,0,1,0.9668377320411187,False
1,0,0,6,2,0,0,1,2,1,0,0.10569522546426137,True
1,0,0,5,0,3,0,0,1,3,0,0.5884658076495366,False
1,2,2,2,2,0,0,2,2,0,0,0.0784904896659544,True
1,1,1,0,5,1,0,1,0,0,3,0.9108621847757833,False
1,6,0,0,2,0,0,3,0,0,1,0.09051113472652718,True
1,2,0,1,4,1,0,0,1,0,3,0.9184215222827652,False
1,2,1,0,4,1,0,0,2,1,1,0.9558823285350627,False
1,1,1,2,0,4,3,0,0,1,0,0.913224819177783,False
1,0,7,0,0,1,0,3,1,0,0,0.07553707361007844,True
1,0,2,4,1,1,1,0,1,1,1,0.9577895515691901,False
1,0,3,2,2,1,0,3,1,0,0,0.08156974806333443,True
1,1,1,0,1,5,0,1,0,1,2,0.8570514941889263,False
1,2,2,2,0,2,1,0,0,3,0,0.08699089777755993,True
1,1,2,0,5,0,1,0,1,1,1,0.045629772723292446,True
1,5,1,2,0,0,0,0,2,0,2,0.9541675642427279,False
1,0,0,0,4,4,2,0,1,0,1,0.8981676432738243,False
1,2,1,0,5,0,0,0,3,0,1,0.04825080477863853,True
1,0,0,5,2,1,3,1,0,0,0,0.9794762408455586,False
1,0,3,0,0,5,2,2,0,0,0,0.09124125290480203,True
1,0,4,1,0,3,0,1,0,1,2,0.894219942188545,False
1,5,2,0,1,0,1,0,3,0,0,0.13382539812293526,True
1,4,2,0,1,1,0,0,1,3,0,0.08720126777246619,True
1,4,2,0,0,2,0,3,0,0,1,0.9348840445269623,False
1,1,0,3,3,1,1,0,0,1,2,0.9380237643773698,False
1,0,1,7,0,0,2,0,0,1,1,0.978842770174365,False
1,4,0,0,1,3,4,0,0,0,0,0.9397393131941654,False
1,2,4,0,1,1,1,0,0,3,0,0.07037910405403035,True
1,2,1,0,0,5,3,0,1,0,0,0.8998754159158705,False
1,0,0,0,4,4,1,0,0,3,0,0.016822746291113508,True
1,5,2,0,1,0,0,0,3,1,0,0.10052523390365967,True
1,6,0,0,0,2,0,1,0,2,1,0.9373936875963957,False
1,0,4,1,0,3,0,0,4,0,0,0.9386873115715746,False
1,4,2,2,0,0,0,0,3,1,0,0.17584171718970218,True
1,3,0,2,0,3,0,1,1,0,2,0.8986526380746189,False
1,0,4,2,0,2,1,0,0,1,2,0.9196398785592003,False
1,2,0,4,2,0,0,2,0,1,1,0.08983591698472432,True
1,2,5,1,0,0,1,0,2,1,0,0.07838965792548971,True
1,0,2,4,1,1,0,3,1,0,0,0.10262338129832993,True
1,1,3,1,3,0,2,1,0,1,0,0.06838525838522644,True
1,0,3,4,1,0,0,0,1,1,2,0.04899819532430078,True
1,0,1,0,2,5,1,3,0,0,0,0.016931754421292584,True
1,3,5,0,0,0,1,0,0,0,3,0.02195581909370382,True
1,0,0,2,5,1,0,0,0,0,4,0.8975902748485195,False
1,1,0,0,5,2,0,1,0,1,2,0.9085138833460018,False
1,2,1,2,2,1,0,3,1,0,0,0.10030430718027679,True
1,0,2,0,1,5,2,0,0,1,1,0.8774573407416257,False
1,1,6,0,1,0,1,3,0,0,0,0.06963263888888889,True
1,2,0,0,2,4,0,0,0,1,3,0.8581812500000003,False
1,0,1,1,4,2,0,0,2,0,2,0.9184351106553964,False
1,6,0,1,0,1,0,1,1,0,2,0.9394818588106432,False
1,1,5,1,1,0,0,0,0,4,0,0.06724375,True
1,4,0,0,2,2,1,1,0,2,0,0.09472264300015959,True
1,2,0,2,0,4,0,1,0,3,0,0.08676443854343154,True
1,1,1,3,1,2,0,1,0,1,2,0.9187752452361517,False
1,0,0,2,4,2,1,0,1,0,2,0.9185354716857214,False
1,1,0,3,0,4,0,0,1,0,3,0.8574264579157719,False
1,5,0,0,0,3,1,1,0,0,2,0.8995320728746228,False
1,0,2,5,1,0,0,3,0,0,1,0.07251343684997494,True
1,2,2,1,2,1,0,0,3,1,0,0.9606032818627355,False
1,1,0,2,1,4,1,2,0,1,0,0.1188335689352322,True
1,2,1,0,4,1,0,1,1,0,2,0.9360463764253016,False
1,5,1,1,0,1,0,2,2,0,0,0.9587542758492419,False
1,4,1,0,2,1,0,1,1,1,1,0.9575562420721128,False
1,3,2,1,0,2,0,1,2,0,1,0.939558545368319,False
1,4,2,0,1,1,1,2,0,1,0,0.096459457343226,True
1,0,0,1,3,4,0,1,2,0,1,0.8989127177384606,False
1,3,0,1,2,2,1,0,2,0,1,0.9387595856710462,False
1,3,1,2,1,1,1,2,0,1,0,0.11917730077386274,True
1,3,2,1,1,1,0,3,0,0,1,0.9535568008150984,False
1,0,4,1,1,2,0,1,1,1,1,0.9304115880079354,False
1,3,1,3,1,0,0,0,3,1,0,0.16978647144779913,True
1,1,0,5,0,2,0,0,0,4,0,0.11997463294020423,True
1,4,0,4,0,0,2,0,2,0,0,0.994078558062317,False
1,0,3,0,4,1,0,2,0,0,2,0.11048862598421316,True
1,3,3,1,0,1,2,0,1,0,1,0.9597402176677701,False
1,1,0,1,6,0,1,0,1,0,2,0.02520198039038474,True
1,3,3,2,0,0,0,2,1,1,0,0.08309530572626903,True
1,0,3,0,5,0,0,0,0,3,1,0.04488632073950621,True
1,2,2,0,3,1,0,1,3,0,0,0.2646620687570648,True
1,1,1,0,3,3,1,0,2,0,1,0.9188798242282453,False
1,0,4,3,0,1,0,0,1,3,0,0.07682274633469675,True
1,3,1,1,0,3,1,0,0,0,3,0.8796966426956889,False
1,1,0,1,6,0,3,0,0,0,1,0.045201980390384706,True
1,1,1,0,3,3,3,1,0,0,0,0.9348404449236146,False
1,1,0,0,4,3,0,0,0,3,1,0.9027693457348291,False
1,0,1,1,6,0,0,3,1,0,0,0.06333055555555556,True
1,0,2,1,3,2,0,3,1,0,0,0.06071740568041112,True
1,0,0,2,2,4,0,0,3,1,0,0.9096363332699295,False
