initial_level,information_model,config_name,seed,num_agents,rounds,total_harvest,mean_agent_payoff,efficiency,final_resource_level,sustainability_ratio,mean_resource_level,collapsed,collapse_round,survival_time,over_usage_rate,payoff_gini
60.0,private,E1,2,8,100,1000.0,125.0,1.0,51.974114562632074,0.5197411456263208,53.93511073958599,False,,100,0.0,0.0
60.0,private,E1,3,8,100,1000.0,125.0,1.0,51.974114562632074,0.5197411456263208,53.93511073958599,False,,100,0.0,0.0
60.0,private,E1,4,8,100,1000.0,125.0,1.0,51.974114562632074,0.5197411456263208,53.93511073958599,False,,100,0.0,0.0
60.0,private,E1,5,8,100,1000.0,125.0,1.0,51.974114562632074,0.5197411456263208,53.93511073958599,False,,100,0.0,0.0
70.0,global,E1,1,8,100,1018.4,127.3,1.0184,50.0,0.5,50.0,False,,100,0.01,0.0
70.0,global,E1,2,8,100,1018.4,127.3,1.0184,50.0,0.5,50.0,False,,100,0.01,0.0
70.0,global,E1,3,8,100,1018.4,127.3,1.0184,50.0,0.5,50.0,False,,100,0.01,0.0
70.0,global,E1,4,8,100,1018.4,127.3,1.0184,50.0,0.5,50.0,False,,100,0.01,0.0
70.0,global,E1,5,8,100,1018.4,127.3,1.0184,50.0,0.5,50.0,False,,100,0.01,0.0
70.0,private,E1,1,8,100,1000.0,125.0,1.0,52.178553774066096,0.5217855377406609,55.27252577318807,False,,100,0.0,0.0
70.0,private,E1,2,8,100,1000.0,125.0,1.0,52.178553774066096,0.5217855377406609,55.27252577318807,False,,100,0.0,0.0
70.0,private,E1,3,8,100,1000.0,125.0,1.0,52.178553774066096,0.5217855377406609,55.27252577318807,False,,100,0.0,0.0
70.0,private,E1,4,8,100,1000.0,125.0,1.0,52.178553774066096,0.5217855377406609,55.27252577318807,False,,100,0.0,0.0
70.0,private,E1,5,8,100,1000.0,125.0,1.0,52.178553774066096,0.5217855377406609,55.27252577318807,False,,100,0.0,0.0
80.0,global,E1,1,8,100,1026.4,128.3,1.0264000000000002,50.0,0.5,50.0,False,,100,0.01,0.0
80.0,global,E1,2,8,100,1026.4,128.3,1.0264000000000002,50.0,0.5,50.0,False,,100,0.01,0.0
80.0,global,E1,3,8,100,1026.4,128.3,1.0264000000000002,50.0,0.5,50.0,False,,100,0.01,0.0
80.0,global,E1,4,8,100,1026.4,128.3,1.0264000000000002,50.0,0.5,50.0,False,,100,0.01,0.0
80.0,global,E1,5,8,100,1026.4,128.3,1.0264000000000002,50.0,0.5,50.0,False,,100,0.01,0.0
80.0,private,E1,1,8,100,1000.0,125.0,1.0,52.25258791227195,0.5225258791227195,56.04992317519581,False,,100,0.0,0.0
80.0,private,E1,2,8,100,1000.0,125.0,1.0,52.25258791227195,0.5225258791227195,56.04992317519581,False,,100,0.0,0.0
80.0,private,E1,3,8,100,1000.0,125.0,1.0,52.25258791227195,0.5225258791227195,56.04992317519581,False,,100,0.0,0.0
80.0,private,E1,4,8,100,1000.0,125.0,1.0,52.25258791227195,0.5225258791227195,56.04992317519581,False,,100,0.0,0.0
80.0,private,E1,5,8,100,1000.0,125.0,1.0,52.25258791227195,0.5225258791227195,56.04992317519581,False,,100,0.0,0.0
